,Unnamed: 0,request,gold_judgment,direct_source,model_pred,reasoning
31,157,Who was the president of nigeria in 1971?,fully specified,AmbigQA,fully specified,"This question is fully specified because it clearly refers to a specific historical event — the presidency of Nigeria in the year 1971. The referent is unambiguous, the scope is precise, and no missing components or subjective criteria are involved. The answer is factually determinable based on historical records."
32,100,What geographical feature of the ocean floor is between the shoreline and the continental slope?,fully specified,AmbigQA,fully specified,"This question is fully specified because it asks for a well-defined geological feature of the ocean floor (the continental shelf) that lies between the shoreline and the continental slope. The terms are unambiguous, the scope is precise, and no subjective standards or missing components are involved."
33,1294,When was the first person sent to space?,fully specified,AmbigQA,fully specified,"This question is fully specified because it asks for a clear, historically documented event — the first human spaceflight — which occurred on April 12, 1961, when Yuri Gagarin became the first person to travel into space. The referent is unambiguous, the scope is factual, and no missing components or subjective criteria are involved."
34,1505,Who played the mohawk guy in road warrior?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a specific character in the 1986 film *Road Warrior* (also known as *Mad Max 2*), asking for the actor who played the mohawk-wearing protagonist, a role clearly defined by the character's distinctive appearance. The referent is unambiguous, the scope is precise, and no missing components or subjective criteria are involved."
35,1509,Who is jay park asia's got talent?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a specific TV show (Asia's Got Talent) and asks for the identity of a known participant, Jay Park. The referent is unambiguous, the scope is clear, and the request does not involve subjective interpretation or missing components. Jay Park's participation in the show is a well-documented fact."
36,780,2014 kia soul front or rear wheel drive?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a specific vehicle model (2014 Kia Soul) and asks for a factual technical detail (drivetrain type). The referent is unambiguous, the scope is precise, and no missing components or subjective criteria are involved."
37,951,Who plays avery in when we first met?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a specific film (""When We First Met"") and a specific character (""Avery""), asking for the actor who portrays them. The referent is unambiguous, the scope is clear, and no missing components or subjective criteria are involved."
38,1673,Who had the right in the roman republic to declare war?,fully specified,AmbigQA,fully specified,"This question is fully specified because it asks for a factual historical fact about the Roman Republic's political structure. The referent is clear (the Roman Republic), and the question directly seeks the authority to declare war, which was a well-defined role in the Republic's governance. There are no missing components, no ambiguous references, and no subjective criteria involved."
39,251,Who was the voice of erica in hotel transylvania 3?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a specific character (Erica) in a well-known animated film (Hotel Transylvania 3) and asks for the factual identity of the voice actor. The referent is unambiguous, the scope is clear, and no missing components or subjective criteria are involved."
40,148,Where is the liver located in the human anatomy?,fully specified,AmbigQA,fully specified,"This question is fully specified because it asks for a clear, factual anatomical fact — the location of the liver within the human body. The referent is unambiguous, the scope is precise, and no additional interpretive components or subjective standards are involved."
41,713,Where do the 6 carbon atoms in glucose come from?,fully specified,AmbigQA,fully specified,"This question is fully specified because it asks for a factual biological explanation of the origin of carbon atoms in glucose, which is a well-established scientific fact tied to the process of photosynthesis. The referent is unambiguous, the scope is precise, and no subjective standards or multiple perspectives are involved."
42,714,Latin for dont let the bastards wear you down?,fully specified,AmbigQA,underspecified,"The request is underspecified because the phrase ""Don't let the bastards wear you down"" is an informal English expression, and its Latin equivalent is not universally standardized. While ""non permitas vultus tui vultus tui"" is a possible literal translation, the phrase's cultural or idiomatic context may not have a widely accepted Latin counterpart. Additionally, the term ""bastards"" in this context is slang and may not have a direct Latin equivalent without interpretive ambiguity."
43,1216,What came out first arkham city or arkham asylum?,fully specified,AmbigQA,fully specified,"This question is fully specified because it asks for a factual comparison of the release dates of two well-defined video game titles (Arkham Asylum and Arkham City). The referents are unambiguous, the scope is clear, and the answer is based on established release dates without requiring subjective interpretation or additional context."
44,1130,Who played the judge in hang em high?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a well-known film, *Hang 'Em High* (1968), and asks for the factual identity of the actor who played the judge role. The referent is unambiguous, the scope is clear, and no missing components or subjective criteria are involved."
45,1747,What city are the sand dunes in colorado?,fully specified,AmbigQA,underspecified,"The request is underspecified because the phrase ""sand dunes in Colorado"" refers to natural features (e.g., Sand Dunes National Park) rather than a city. The question conflates a geographic feature (sand dunes) with a city, which does not exist in Colorado. Without clarifying the intended referent (e.g., a specific park or location), the question remains ambiguous."
46,1931,When does far cry 5 come out pc?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to the release date of the video game *Far Cry 5* on PC, a well-documented factual event. The referent is unambiguous, the scope is clear, and no missing components or subjective criteria are involved. The game was officially released on PC on May 24, 2014, and the question does not require interpretation of multiple perspectives or granularities."
47,1696,How many episodes in season 4 agents of shield?,fully specified,AmbigQA,fully specified,"This question is fully specified because it clearly refers to a specific TV show (Agents of S.H.I.E.L.D.) and a specific season (Season 4), asking for a factual count of episodes. The referent is unambiguous, the scope is precise, and no missing components or subjective criteria are involved."
48,1656,Who started the first news paper in india?,fully specified,AmbigQA,fully specified,"This question is fully specified because it asks for a historically recognized factual event — the founding of the first newspaper in India. The referent is unambiguous, as the Bengal Gazette, founded by James Hicky in 1754, is widely accepted as the first newspaper in India. There are no missing components, no ambiguous references, and no subjective standards involved."
49,693,Who plays klaus in a series of unfortunate events netflix?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a specific character (""Klaus"") in a well-defined TV series (""A Series of Unfortunate Events"") on Netflix. The referent is clear, and while the character ""Klaus"" is not part of the original series, the question is unambiguous in its reference to the show and the character, making it fully specified. However, if ""Klaus"" is a misstatement or refers to a different show, the question would be underspecified. But given the explicit reference to the show, the request is clear."
50,777,Ratio of length and width of indian flag?,fully specified,AmbigQA,fully specified,"This question is fully specified because it asks for a well-defined, factual measurement of the Indian flag's dimensions. The ratio of length to width is a standardized, universally recognized fact (3:2) for the Indian flag. There are no missing components, no ambiguous references, and no subjective criteria involved."
51,668,Who played the maniac in it's always sunny?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a specific character (""the maniac"") in the well-known TV show *It's Always Sunny in Philadelphia* and asks for the actor who played that role. The referent is unambiguous, the scope is clear, and the answer is a factual, widely recognized attribution. There are no missing components, no ambiguous references, and no subjective standards involved."
52,281,What type of memory does reid have on criminal minds?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a well-known TV show (Criminal Minds) and a specific character (Reid), asking for the type of memory he is known for. The referent is clear, the scope is precise, and the question does not require subjective interpretation or multiple perspectives."
53,1426,Where was the first north american indigenous games held?,fully specified,AmbigQA,fully specified,"This question is fully specified because it asks for a factual historical event — the location of the first North American Indigenous Games. The referent is unambiguous, the scope is clear, and no missing components or subjective criteria are involved. The event is well-documented, with a single, historically verified answer."
54,63,Who plays donna's grandfather in doctor who?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a specific character (Donna Noble's grandfather) in the well-known TV series *Doctor Who* and asks for the factual identity of the actor who portrayed him. The referent is unambiguous, the scope is clear, and no missing components or subjective criteria are involved."
55,516,When does season 4 of orange is the new black start?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a specific TV series (Orange Is the New Black) and a specific season (season 4), asking for the factual start date of that season. The referent is unambiguous, the scope is precise, and no missing components or subjective criteria are involved."
56,530,Who sang the song he stopped loving her today?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a well-known song title (""He Stopped Loving Her Today"") and asks for the factual identity of the artist. The referent is unambiguous, the scope is clear, and no missing components or subjective criteria are involved."
57,1017,The 2010 commonwealth games held in which country?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a specific historical event (the 2010 Commonwealth Games) and asks for the factual location of the event. The referent is unambiguous, the scope is precise, and no missing components or subjective criteria are involved."
58,1873,What county is jersey city nj located in?,fully specified,AmbigQA,fully specified,"This question is fully specified because it clearly refers to the specific city (Jersey City) and state (New Jersey) and asks for the factual geographic county in which it is located. The referent is unambiguous, the scope is precise, and no missing components or subjective criteria are involved."
59,1634,Who plays the teacher on f the prom?,fully specified,AmbigQA,underspecified,"The request is underspecified because the term ""F the Prom"" is not a recognized or well-defined reference, leaving the referent ambiguous. Without clarification on the specific show or context, the question cannot be accurately answered."
60,1217,Where did the bay of pigs take place?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a well-documented historical event (the 1961 Bay of Pigs invasion) and asks for the specific geographic location of the event. The referent is unambiguous, and while the term ""Bay of Pigs"" could theoretically refer to other locations, the historical context of the invasion makes the referent clear. There are no missing components, no ambiguous references, and no subjective criteria involved."
61,701,In which country there is a provision of due process of law?,fully specified,AmbigQA,underspecified,"The request is underspecified because the phrase “there is a provision of due process of law” is vague and could refer to multiple parallel legal systems or countries. Without specifying which country is meant, the referent remains ambiguous."
62,1382,Who did the british side with in the french and indian war?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a well-defined historical event (the French and Indian War) and asks for the factual alliance of the British during that conflict. The referent is unambiguous, the scope is clear, and no missing components or subjective interpretations are involved."
63,1850,How many seasons of shameless usa is there?,fully specified,AmbigQA,underspecified,"The request is underspecified because the term “shameless usa” is not a recognized or standard title for a TV show. While “Shameless” is a well-known series, “shameless usa” could refer to a misspelling, a non-existent show, or a regional variation, leaving the referent ambiguous. Without clarification, the question cannot be accurately answered."
64,283,What kind of car was ramone from cars?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to the character Ramone from the 2006 Pixar film *Cars*, asking for the type of car he is. The referent is unambiguous, and the answer is a well-established fact from the movie's storyline. There are no missing components, no ambiguous references, and no subjective criteria involved."
65,456,Who sings tequila makes her cloths fall off?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a well-known song title (""Tequila Makes Her Clothes Fall Off"") and asks for the factual identity of the artist. The referent is unambiguous, the scope is clear, and no missing components or subjective criteria are involved."
66,1160,How many episodes of switched at birth season 1?,fully specified,AmbigQA,fully specified,"This question is fully specified because it clearly refers to the first season of the TV series *Switched at Birth* and asks for the factual number of episodes, which is a well-documented, standardized piece of information. There are no missing components, no ambiguous references, and no subjective criteria involved."
67,1737,Who plays gary in only fools and horses?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a well-known TV show (Only Fools and Horses) and a specific character (Gary), asking for the factual identity of the actor. The referent is unambiguous, the scope is clear, and no missing components or subjective criteria are involved."
68,1846,Which city is famous for its large cinco de mayo celebration?,fully specified,AmbigQA,underspecified,"The request is underspecified because the phrase “famous for its large cinco de mayo celebration” can refer to multiple parallel cities, each with its own cultural significance. Without specifying which city is meant, the referent remains ambiguous."
69,1075,How many episodes in chicago med season 3?,fully specified,AmbigQA,fully specified,"This question is fully specified because it clearly refers to a specific TV show (Chicago Med) and a specific season (Season 3), asking for a factual count of episodes. The referent is unambiguous, the scope is precise, and no missing components or subjective criteria are involved."
70,1932,When was the not too young to run bill signed into law?,fully specified,AmbigQA,underspecified,"The request is underspecified because the phrase ""Not Too Young to Run"" refers to multiple parallel legislative proposals across different time periods, each with distinct contexts and outcomes. Without specifying which particular bill is intended (e.g., the 1997 ""Freedom to Choose Act"" or the 2019 ""Freedom to Choose Act""), the referent remains ambiguous. Additionally, the question lacks clarity on whether the bill was actually passed and signed into law, as some versions of the bill were never enacted. Both factors make the question underspecified."
71,432,Sky living nashville season 6 how many episodes?,fully specified,AmbigQA,underspecified,"The request is underspecified because the phrase “Sky Living Nashville” is not a recognized or standard title for a TV show. While “Nashville” is a well-known series, the addition of “Sky Living” introduces ambiguity, potentially referring to a different show, a streaming platform, or a misnomer. Without clarification on the exact referent, the question cannot be fully resolved."
72,871,What war is in the wonder woman movie?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to the specific 2017 film *Wonder Woman* and asks for the war depicted in its plot. The referent is unambiguous, the scope is clear, and no missing components or subjective criteria are involved. The war in question is the Greco-Amazons War, a well-defined event in the film's narrative."
73,1006,When did the us recognize texas as an independent nation?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a well-documented historical event — the United States' formal recognition of Texas as an independent nation — and asks for the specific date of that recognition. The referent is unambiguous, the scope is factual, and no missing components or subjective criteria are involved."
74,1185,When did apple begin to sell the lisa computer?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a specific historical product (the Lisa computer) and asks for a factual, precise date of its release. The referent is unambiguous, the scope is clear, and no missing components or subjective criteria are involved."
75,165,Who gave the concept of ingroup and outgroup?,fully specified,AmbigQA,fully specified,"This question is fully specified because it asks for the originator of a well-defined sociological concept (ingroup and outgroup), which is a factual, historically anchored question. The referent is unambiguous, the scope is precise, and no missing components or subjective criteria are involved."
76,791,Who won america's got talent 2017 finals?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a specific, well-documented event (America's Got Talent 2017 finals) and asks for the factual winner of that event. The referent is unambiguous, the scope is clear, and no missing components or subjective criteria are involved."
77,118,Who won the battle of blackburn's ford?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a well-documented historical event — the Battle of Blackburn's Ford during the American Civil War — and asks for the factual outcome of the conflict. The referent is unambiguous, the scope is clear, and the answer is based on established historical records without requiring subjective interpretation or additional context."
78,378,How many nuclear weapons did the soviet union have in 1945?,fully specified,AmbigQA,fully specified,"This question is fully specified because it clearly refers to a specific historical entity (the Soviet Union) and a specific year (1945), asking for a factual count of nuclear weapons. While the answer (zero) is historically accurate, the question itself is unambiguous and does not require subjective interpretation or missing components."
79,1274,Who plays the punisher on the netflix show?,fully specified,AmbigQA,fully specified,"This question is fully specified because it clearly refers to the character ""The Punisher"" in the Netflix series and asks for the factual identity of the actor. The referent is unambiguous, the scope is straightforward, and no missing components or subjective criteria are involved."
80,1701,Who plays lauren in make it or break it?,fully specified,AmbigQA,fully specified,"This question is fully specified because it clearly refers to the TV show *Make It or Break It* and asks for the actor who plays the character Lauren. The referent is unambiguous, the scope is precise, and no missing components or subjective criteria are involved. The answer is a direct factual attribution without ambiguity."
81,1011,How many base pairs in diploid human genome?,fully specified,AmbigQA,fully specified,"This question is fully specified because it asks for a well-defined biological fact: the total number of base pairs in the diploid human genome. The referent is unambiguous (human diploid genome), and the scope is factual, requiring no subjective interpretation or additional contextual clarification. The answer is a widely accepted scientific value (approximately 6.4 billion base pairs)."
82,554,Who played sam adams in sons of liberty?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a specific TV show (""Sons of Liberty"") and a well-defined character (Sam Adams), asking for the factual identity of the actor who portrayed him. The referent is unambiguous, the scope is clear, and no missing components or subjective criteria are involved."
83,1752,Who won the first academy award for best picture?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a well-documented historical event — the first Academy Award for Best Picture — and asks for the factual winner of that award. The referent is unambiguous, the scope is precise, and no missing components or subjective criteria are involved."
84,598,Who died in the book into thin air?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to the well-known non-fiction book *Into Thin Air* and asks for the factual names of the individuals who died during the 1996 Mount Everest disaster, which is a specific, documented event. The referent is unambiguous, the scope is clear, and no missing components or subjective criteria are involved."
85,1658,Where was the show 13 reasons why filmed?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to the TV show *13 Reasons Why* and asks for the factual filming locations, which are well-documented. While the show is set in Pennsylvania, it was filmed in multiple locations across the United States, including Pittsburgh and other cities. The referent is clear, and the request does not require subjective interpretation or missing components."
86,1618,In riverdale who does betty end up with?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a specific TV show (Riverdale) and asks for the factual conclusion of Betty's relationship arc, which is a well-defined narrative outcome. The referent is unambiguous, the scope is clear, and no missing components or subjective interpretations are involved."
87,1312,Volleyball became an official sport in the summer olympics in this year?,fully specified,AmbigQA,fully specified,"This question is fully specified because it asks for a factual historical event — the year volleyball was first included in the Summer Olympics. The referent is unambiguous, the scope is precise, and the answer is well-documented (1964). While ""this year"" could be interpreted as the current year, the phrasing ""became an official sport"" implies a historical event, not a current one. The question does not require subjective interpretation or missing components."
88,1490,How many times csk reached final in ipl?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a specific sports event (IPL) and a well-defined team (CSK) and asks for a factual count of their appearances in the final. The referent is unambiguous, the scope is clear, and no missing components or subjective criteria are involved."
89,733,Who plays the devil in tenacious d tribute?,fully specified,AmbigQA,underspecified,"The request is underspecified because the phrase “tenacious d tribute” is ambiguous — it could refer to a specific song, performance, or cover version of a song by Tenacious D, but without clarifying which one, the referent remains unclear. Additionally, the term “plays the devil” could refer to a fictional character in the song or a real person in a tribute, but the question lacks context to distinguish between these interpretations. Both factors make the question underspecified."
90,1660,When did cars become more common than horses?,fully specified,AmbigQA,underspecified,"The request is underspecified because the phrase “more common than horses” can be interpreted from multiple perspectives, such as the number of vehicles in a specific region, the time period, or the type of horse (e.g., domesticated vs. wild). Without specifying the context, the question remains underspecified."
91,453,Who played the king in game of thrones season 1?,fully specified,AmbigQA,fully specified,"This question is fully specified because it clearly refers to the TV show Game of Thrones, specifically season 1, and asks for the actor who played the king (Robert Baratheon). The referent is unambiguous, the scope is precise, and no missing components or subjective criteria are involved."
92,1863,Who dies in season 2 of orange is the new black?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a well-defined TV series (Orange Is the New Black) and a specific season (Season 2), asking for a factual list of characters who died during that season. The referent is unambiguous, the scope is clear, and no missing components or subjective criteria are involved."
93,644,What year did the ipod touch 4 come out?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a specific product (the iPod touch 4) and asks for the factual release year, which is a well-documented historical event. The referent is unambiguous, the scope is precise, and no missing components or subjective criteria are involved."
94,1518,What is the record for most wins in jeopardy?,fully specified,AmbigQA,fully specified,"This question is fully specified because it asks for a factual, well-documented record in the context of the game show Jeopardy! The referent is unambiguous, the scope is clear (most wins), and the request does not involve subjective standards or missing components. The answer is a known historical fact."
95,144,What is the function of starch granules in plant cells?,fully specified,AmbigQA,fully specified,"This question is fully specified because it asks for a clear, factual biological function of a well-defined cellular component (starch granules) within plant cells. The referent is unambiguous, the scope is precise, and no subjective standards or multiple perspectives are involved. The answer is grounded in established biological knowledge without requiring additional contextual or interpretive input."
96,946,Who wrote the song paint me a birmingham?,fully specified,AmbigQA,underspecified,"The request is underspecified because the song title ""Paint Me a Birmingham"" is not a widely recognized or standard reference. It could be a misspelling, a niche or regional song, or a fictional title. Without confirmation of the song's existence or correct title, the referent remains ambiguous."
97,369,Who wrote the song the night the lights went out in georgia?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a well-known song (""The Night the Lights Went Out in Georgia"") and asks for the factual identity of the songwriter. The referent is unambiguous, the scope is clear, and no missing components or subjective criteria are involved."
98,1478,Who played harmonica on the wizard black sabbath?,fully specified,AmbigQA,underspecified,"The request is underspecified because the phrase “Wizard Black Sabbath” is not a recognized band or musical entity. While “Black Sabbath” is a well-known heavy metal band, “Wizard Black Sabbath” is either a misspelling, a fictional reference, or a non-standard term. Without clarification, the referent remains ambiguous, making the question underspecified."
99,1592,Using the letters of a word to make a poem?,fully specified,AmbigQA,underspecified,"The request is underspecified because it lacks the specific word or words to be used as the foundation for the poem. Without knowing the target word, the task of rearranging letters to form a poem cannot be executed or explained. Additionally, the type of poem (e.g., acrostic, anagram, or free-form) is not clarified, further contributing to ambiguity."
100,543,In day of the locust where is tod hackett originally from?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to the character Tod Hackett from the novel The Day of the Locust and asks for the factual origin of the character. The referent is clear, the scope is precise, and no missing components or subjective standards are involved."
