,question,id,normalized_aliases,category,judgment,reasoning,model_short_answer,em,f1
14,Cathay is a poetic name for which far eastern country?,wh_2443,"['中華', 'zhōngguó', 'peoples republic of china', 'chinese people s republic', 'territorial disputes of china', 'people s republic of china', 'zhongguo', 'china peking', 'proc', 'red china modern', 'land of china', 'people s republic of china mainland china', '中華人民共和國', 'zhonghuá rénmín gònghéguó', 'cihna', 'iso 3166 1 cn', 'modern day china', '中国', 'jhongguó', 'pr of c', 'socialist china', 'communist china modern', 'chinese pr', 'p r of china', '中华', 'nation of china', 'prchina', 'pr of china', 'state of china', 'chaina', 'prc china', 'china republic 1949', 'people s republic of china prc', 'people s republic or china', '中华人民共和国', 'china people s republic of', 'zhonghuarenmingongheguo', 'zhongguó', 'sinic', 'china prc', 'zhong guo', 'zhonghua renmin gongheguo', 'red chinese', 'pr china', 'china s', 'chung kuo', 'p r china', 'homes in china', 'p r c', 'china', 'zhonghua renmin gonghe guo', 'china pr', 'people s repuublic of china', '中國', 'china people s republic', 'zhōnghuá rénmín gònghéguó', 'chungkuo', 'prc', 'people republic of china']",fully specified,fully specified,"This question is fully specified because it refers to a well-documented historical or poetic term (""Cathay"") for a specific country (China) in the Far East. The referent is unambiguous, and the question does not require subjective interpretation or multiple perspectives. The term ""Cathay"" is historically associated with China, making the answer factually clear.",['China'],1,1.0
15,Which British monarch was the first Head of the Commonwealth?,qb_6004,"['albert of wales', 'prince albert duke of york', 'king george v1', 'george vi of scotland', 'george vi of great britain and ireland', 'hm king george vi', 'gvir', 'albert of cornwall', 'albert frederick arthur george', 'prince albert of cornwall and york', 'george vi of britain', 'george vi of great britain', 'george vi of ireland', 'albert of york', 'albert of cornwall and york', 'king george 6th', 'george vi of england', 'george sixth', 'prince albert of cornwall', 'prince albert of york', 'albert duke of york', 'george vi', 'george vi king of england', 'george vi of uk', 'prince albert of wales', 'george vi of united kingdom', 'george vi of india', 'king george vi', 'george vi emperor', 'george vi of canada', 'king george vi of united kingdom']",fully specified,fully specified,"This question is fully specified because it asks for a clear historical fact: the British monarch who first held the title of Head of the Commonwealth. The referent is unambiguous, the scope is factual, and the question does not require subjective interpretation or multiple perspectives. The answer is rooted in the historical establishment of the Commonwealth in 1931 under King George V.",['King George VI'],1,1.0
16,In which American state is the Isabella Stewart Gardner Museum?,tc_1069,"['mass', 'massachusites', 'taxachusetts', 'massachusetts state', 'bay state', 'commonwealth of masachusets', 'massachusite', 'transportation in massachusetts', 'massachusettes', 'masachussetts', 'massachsuetts', 'masshole commonwealth', 'massacheusetts', 'culture of massachusetts', 'massachusetts u s state', 'massachussets', 'commonwealth of massachussets', 'ma state', 'commonwealth of masachussetts', 'massachusetts culture', 'commonwealth of massachussetts', 'masachussets', 'massachusets', 'massachusettsan', 'education in massachusetts', 'massachus', 'us ma', 'state of massachusetts', 'economy of massachusetts', 'massachusetts united states', '6th state', 'commonwealth of massachusetts', 'massechusetts', 'massachusetts', 'commonwealth of massachusets', 'massechussets', 'masschusetts', 'transport in massachusetts', 'most serene commonwealth of massachusetts', 'massachussetts', 'commonwealth of masachussets', 'masachusetts', 'religion in massachusetts', 'masachusets', 'sixth state', 'massitchusits', 'commonwealth of masachusetts']",fully specified,fully specified,"This question is fully specified because it clearly refers to the Isabella Stewart Gardner Museum, a well-known institution located in Boston, Massachusetts. The request is factual, with no missing components, no ambiguous references, and no need for subjective interpretation. The answer is unambiguously tied to the U.S. state of Massachusetts.",['Massachusetts'],1,1.0
17,"Under which British monarch was Warren Hastings appointed first Governor of the Presidency of Fort William (Bengal) and the head of the Supreme Council of Bengal, effectively the first Governor-General of India?",qw_16501,"['george iii of england', 'george iii guelph', 'george william frederick', 'king george iii', 'king george 3rd', 'farmer george', 'mad king george', 'george iii of corsica', 'george iii of uk', 'george iii', 'george iii king of great britain', 'george iii of great britain', 'george iii of hanover', 'king george iii of united kingdom', 'george iii of united kingdom', 'george iii of britain', 'george iii 22the mad 22 of united kingdom', 'king george 3 of united kingdom', 'king george 3', 'george iii king of great britain and ireland', 'george iii of scotland', 'king george iii of great britain', 'list of titles and honours of king george iii', 'george iii of great britain and ireland', 'george third']",fully specified,fully specified,"This question is fully specified because it asks for a precise historical fact: the British monarch under whom Warren Hastings was appointed to his key administrative role in India. The referent is unambiguous, the scope is factual, and no missing components or subjective criteria are involved.",['King George III'],1,1.0
18,"Which opera by Rossini , his last , is based on a play by Schiller ?",wh_3301,"['affair to forget will grace', 'he shoots they snore', 'young tactless', 'fear clothing', 'alice doesn t lisp here anymore', 'acting out will grace', 'hospital show will grace', 'big brother is coming 2', 'big vent', 'sons lovers will grace', 'alley cats will grace', 'stakin care of business', 'unsinkable mommy adler', 'brothers love story', 'tea total lack of sympathy', 'ben 3f her 3f', 'someone old someplace new', 'one gay at time', 'went to garden potty', 'third wheel gets grace', 'mad dogs average men', 'fyi i hurt too', 'crouching father hidden husband', 'advise resent will grace', 'between rock and harlin s place', 'grace 0 jack 2000', 'saving grace will grace', 'whose mom is it anyway 3f', 'star spangled banter', 'guess who s not coming to dinner will grace episode', 'crazy in love will grace', 'husbands trophy wives', 'past presents', 'swimming pools movie stars', 'homo for holidays', 'heart like wheelchair', 'last ex to brooklyn', 'finale will and grace', 'boo humbug', 'boardroom parked place', 'there but for grace of grace', 'buncha white chicks sittin around talkin', 'where there s will there s no way', 'will grace episodes', 'seeds of discontent will grace', 'dames at sea will grace', 'election will grace', 'old fashioned piano party', 'bed bath beyond will grace', 'will works out', 'poker 3f i don t even like her', 'forbidden fruit will grace', 'secrets lays', 'to serve disinfect', 'my best friend s tush', 'i never promised you olive garden', 'coffee commitment', 'truth about will dogs', 'yours mine or ours', 'rules of engagement will grace', 'moveable feast will grace', 'will and grace episodes', 'head case will grace', 'big brother is coming 1', 'new lease on life', 'humongous growth', 'jingle balls will grace', 'and horse he rode in on', 'terms of employment will grace', 'girls interrupted will grace episode', 'oh dad poor dad he s kept me in closet and i m so sad', 'whatever happened to baby gin 3f', 'lows in mid eighties', 'sweet sour charity', 'needle omelet s done', 'story bee story', 'i second that emotion will grace episode', 'wedding balls', 'my fair maid y', 'whoa nelly will grace', 'polk defeats truman', 'company will grace', 'it s gay pumpkin charlie brown', 'hey la hey la my ex boyfriend s back', 'my uncle car', 'kid stays out of picture', 'buying game will grace', 'he s come undone', 'grace in hole', 'bacon and eggs will grace', 'loose lips sink relationships', 'cheatin trouble blues', 'list of will grace episodes', 'three s crowd six is freak show', 'bathroom humor', 'something borrowed someone s due', 'new will city', 'william tell', 'prison blues will grace', 'object of my rejection', 'last of really odd lovers', 'will on ice', 'i artificial insemination']",fully specified,fully specified,"This question is fully specified because it refers to a specific, well-documented historical fact: Rossini's last opera, *La Fille du Pharaon* (The Thieving Magpie), which is based on a play by Friedrich Schiller titled *Die Diebengel* (The Thieving Magpie). The referent is unambiguous, the scope is precise, and no missing components or subjective criteria are involved.",['William Tell'],1,1.0
19,‘The Queen was in the parlour eating bread and honey’ in which nursery rhyme?,qb_4949,['sing song of sixpence'],fully specified,fully specified,"This question is fully specified because it refers to a well-known line from a specific nursery rhyme, ""The Queen and the King,"" and asks for the exact title of the rhyme. The referent is unambiguous, the scope is clear, and no missing components or subjective criteria are involved.",['Sing a Song of Sixpence'],1,1.0
20,Who is the father-in-law of Manchester City footballer Sergio Kűn Aguerro?,odql_8301,"['maradona diego', 'diego armando maradona', 'maradonna', 'diego marradonna', 'd10s', 'diego marradona', 'diego maradonna', 'diego maradona', 'el diego', 'maradona']",fully specified,fully specified,"This question is fully specified because it refers to a specific, publicly known individual (Sergio Agüero) and asks for the factual identity of his father-in-law. The referent is unambiguous, the scope is clear, and no missing components or subjective criteria are involved. The familial relationship is well-defined and does not require interpretation of multiple perspectives or granularities.",['Diego Maradona'],1,1.0
21,What colour hair did Charles Dickens' character David Copperfield have?,dpql_206,"['red song', 'red album', 'red comics', 'red disambiguation', 'r e d', 'red', 'red film', 'red comic']",fully specified,fully specified,"This question is fully specified because it refers to a specific character in a well-known literary work and asks for a factual detail about the character's appearance. The referent is clear, the scope is precise, and no missing components or subjective standards are involved.",['Brown'],0,0.0
22,Elizabeth Taylor made a fortune from what business aside from acting?,bb_1493,"['perfume bottles', 'eau de parfume', 'perfumedly', 'perfuming', 'perfumery', 'perfumes', 'parfum', 'parfume', 'perfume industry', 'eau de toilet', 'mens fragrance', 'perfume', 'perfume bottle', 'perfumed', 'men s fragrance', 'eau de parfum', 'perfumingly', 'perfumeries', 'extrait de parfum']",fully specified,fully specified,"This question is fully specified because it refers to a well-documented historical fact: Elizabeth Taylor's ownership of the Elizabeth Arden cosmetics company, which was a significant business venture beyond her acting career. The referent is unambiguous, and the scope is factual with no missing components or subjective criteria.",['Fragrance business'],0,0.5
23,What is the name of the charity for single parents founded in the 1970s which currently has J K Rowling as its President?,sfq_19603,"['gingercake', 'pierniki', 'gingerbread', 'ginger cake', 'gingerbread cookie', 'ginger breads', 'gingerbreads', 'ginger bread']",fully specified,fully specified,"This question is fully specified because it provides a clear, unambiguous referent: a charity for single parents founded in the 1970s with J.K. Rowling as its president. The referent is uniquely identifiable, and while external verification may be required, the question itself is factually precise with no missing components or subjective criteria.",['Gingerbread'],1,1.0
24,Giugno is Italian for which month of the year?,qb_6288,"['june', 'jun', '㋅', 'june 31', 'junes', 'june 31st', 'juno german']",fully specified,fully specified,"This question is fully specified because it directly asks for the English name of the Italian month ""Giugno,"" which is a well-established linguistic fact. The referent is unambiguous, the scope is precise, and no missing components or subjective criteria are involved.",['June'],1,1.0
25,What character was played by Bill Fraser in 'The Army Game'?,qf_277,['snudge'],fully specified,fully specified,"This question is fully specified because it clearly refers to the 2002 film *The Army Game* and asks for the specific character played by the actor Bill Fraser. The referent is unambiguous, the scope is factual, and no missing components or subjective criteria are involved.",['Sergeant Claude Snudge'],0,0.5
26,Who is the Greek God of War?,wh_817,"['ares disambiguation', 'ares']",fully specified,fully specified,"This question is fully specified because it directly refers to a well-defined mythological entity — the Greek God of War, which is Ares. The referent is unambiguous, the scope is factual, and no missing components or subjective criteria are involved.",['Ares'],1,1.0
27,For which scientific discovery did Crick and Watson receive the 1962 Nobel Prize for Medicine?,sfq_3290,"['mechanical properties of dna', 'rna structure', 'nucleic acid structure', 'dna structure', 'dna topology', 'dna bubble']",fully specified,fully specified,"This question is fully specified because it refers to a well-documented historical event: the 1962 Nobel Prize in Physiology or Medicine awarded to Francis Crick and James Watson for their discovery of the structure of DNA. The referent is unambiguous, the scope is factual, and no missing components or subjective criteria are involved.",['The discovery of the molecular structure of DNA.'],0,0.5
28,Nouakchott is the capital of which Islamic African republic?,odql_3663,"['mauretania prima', 'domain of moor', 'classical morocco', 'sitifensis', 'king of mauretania', 'mauretanian kingdom', 'list of kings of mauretania', 'roman moorish kingdoms', 'roman moor kingdoms', 'ancient mauretania', 'classical mauretania', 'mauretania sitifensis', 'mauretania secunda', 'kingdom of mauretania', 'mauretania', 'roman mauretania']",fully specified,fully specified,"This question is fully specified because it refers to a well-defined geographic fact: the capital city of Nouakchott and its corresponding country, which is Mauritania. The referent is unambiguous, the scope is factual, and no missing components or subjective criteria are involved.",['Mauritania'],0,0.0
29,A creance is the name of the long fine cord used in which sport?,qb_1414,"['falconry', 'imping', 'day old cockerel', 'austringer', 'falconeering', 'hawking falconry', 'telwah']",fully specified,fully specified,"This question is fully specified because it refers to a specific sports term (""creance"") and asks for the sport in which it is used. The term ""creance"" is uniquely associated with rowing (the rope used to secure a boat to the dock), making the referent unambiguous. There are no missing components, no ambiguous references, and no subjective standards involved.",['Falconry'],1,1.0
30,Selenology is the scientific study of which celestial body?,qb_2020,"['moonless', 'earth and moon', 'lunar mass', 'luna satellite', '🌛', 'earth s moon', '☾', 'solar and lunar eclipses', 'terra i', 'moon earth', 'luna moon', 'moon like', '🌙', 'earth i', 'moonlike', 'sol iiia', 'satellite of earth', 'moon moon', 'pictures on moon', 'natural earth satellite', 'sol 3a', 'luna natural satellite', 'dorsa argand', 'lunarian', 'moon', 'moon distance from earth', '🌜', 'moonlikeness', 'moon likeness', 'earth s natural satellites', 'mass of moon', 'lunar radius', 'moon mass', '☽']",fully specified,fully specified,"This question is fully specified because it directly asks for the specific celestial body studied by selenology, which is the Moon. The term ""selenology"" is unambiguously tied to the Moon in scientific contexts, with no missing components, no referential ambiguity, and no subjective criteria involved.",['The Moon'],1,1.0
31,In June 2013 US Texas State Senator Wendy Davis filibustered for 10 hours to obstruct Texas state laws concerning?,bb_3952,"['abortus provocatus', 'induced miscarriage', 'third trimester abortion', 'abortion and health', 'abortionists', 'aborting', 'surgical abortion', 'induced abortions', 'abortion in animals', 'aborted fetuses', 'surgical termination of pregnancy', 'abortion induced', 'abortions', 'abortion complications', 'abortion', 'aborted fetus', 'termination of pregnancy', 'complications of abortion', 'abortionist', 'abortion physical effects of', 'pine needle abortion', 'induced abortion', 'pregnancy abortion', 'elective termination of pregnancy', 'abortus', 'total abortion rate', 'medical termination of pregnancy', 'physical effects of abortion', 'pregnancy termination', 'elective abortion']",fully specified,fully specified,"This question is fully specified because it refers to a specific historical event — Wendy Davis's 10-hour filibuster in June 2013 in Texas — and asks for the factual content of the law she was opposing. The referent is unambiguous, the scope is precise, and no missing components or subjective criteria are involved. The event is well-documented, and the law in question (Texas abortion restrictions) is a known factual detail.",['Abortion restrictions'],0,0.6666666667000001
32,Who first drew Mickey Mouse when ?Disney first supplied the voice?,tc_2090,"['celebrity productions', 'iwerks ub', 'ub iwerks', 'ubbe ert iwwerks', 'ub iwerks studio']",fully specified,fully specified,"This question is fully specified because it refers to a specific historical event — the creation of Mickey Mouse and the assignment of his voice by Disney. The referent is unambiguous, the scope is factual, and the request does not involve subjective interpretation or missing components. The question is clear in its intent to identify the artist (Ub Iwerks) who designed Mickey Mouse at the time Disney first provided him with a voice (1929).",['- Ub Iwerks first drew Mickey Mouse.  \n- Walt Disney first supplied the voice.'],0,0.3076923077
33,Alan Greenspan was the head of which US government department from 1987 to 2006?,odql_10047,"['federal reserve board', 'u s federal reserve governor', 'board of governors of federal reserve system', 'federal reserve governor', 'frb', 'federal reserve board of governors', 'board of governors of federal reserve']",fully specified,fully specified,"This question is fully specified because it refers to a well-documented historical fact: Alan Greenspan's role as the Chair of the Federal Reserve from 1987 to 2006. The referent is unambiguous, the scope is precise, and no missing components or subjective criteria are involved. The Federal Reserve is a recognized U.S. government institution, even though it operates with independence from the executive branch.",['Federal Reserve'],0,0.8
34,In what year was the Battle of Stamford Bridge?,sfq_7781,"['1066', 'one thousand and sixty six']",fully specified,fully specified,"This question is fully specified because it asks for a specific historical event (the Battle of Stamford Bridge) and its exact year, which is a well-documented factual event with a clear, unambiguous answer. There are no missing components, no referential ambiguity, and no subjective criteria involved.",['- 1066'],1,1.0
35,What was the Russian City of Nizhny Novgorod called between 1932 and 1990?,sfq_21320,"['gorky', 'gorky disambiguation', 'gorkiy']",fully specified,fully specified,"This question is fully specified because it asks for a historically accurate name of a city during a defined period (1932–1990). The referent (Nizhny Novgorod) is unambiguous, and the historical renaming event is well-documented. The request does not involve subjective standards, missing components, or ambiguous references.",['Gorky'],1,1.0
36,"""The cruise liner """"Costa Concordia"""" sank in the Tyrhenian sea in January 2012 against the rocks of the coast of what island?""",wh_267,"['giglio', 'giglio disambiguation']",fully specified,fully specified,"This question is fully specified because it refers to a specific historical event (the sinking of the Costa Concordia) with precise details: the ship's name, the time frame (January 2012), the location (Tyrrhenian Sea), and the context of the incident (colliding with rocks off an island). The referent is unambiguous, and the question requires a factual, well-documented answer without ambiguity or missing components.",['Isola del Giglio'],0,0.5
37,Zloty and Grosz are money in which country?,bb_8041,"['lenkija', 'poleland', 'iso 3166 1 pl', 'po land', 'pologne', 'country poland', 'polska', 'pole land', 'ploand', 'polland', 'fourth poland', 'polskor', 'rzeczpospolita polska', 'polish state', 'pols land', 'bastarnia', 'etymology of poland', 'poland', 'polnd', 'architecture of poland', 'polija', 'republic of poland', 'poleand']",fully specified,fully specified,"This question is fully specified because it refers to two specific currency units (Zloty and Grosz) and asks for the country they belong to. The referent is unambiguous, as Zloty is the currency of Poland, and Grosz is its subunit. There are no missing components, no ambiguous references, and no subjective standards involved.",['Poland'],1,1.0
38,Which US folk singer had the words “This machine kills fascists” written on his guitar?,sfq_23344,"['woody guthry', 'woodie guthrie', 'philadelphia lawyer song', 'guthrie woody', 'woodrow wilson 22woody 22 guthrie', 'reno blues', 'woodrow wilson guthrie', 'woody guthrie', 'woodie guthry']",fully specified,fully specified,"This question is fully specified because it refers to a well-documented historical fact: the US folk singer Pete Seeger, who famously had the phrase ""This machine kills fascists"" written on his guitar as a political statement. The referent is unambiguous, the scope is factual, and no missing components or subjective interpretations are involved.",['Woody Guthrie'],1,1.0
39,How is 'The Journal Of The House Of Commons' better known?,odql_9681,"['parliamentary debates', 'lords hansard', 'hansard lords', 'parliamentary hansard', 'hansard s debates', 'parliamentary proceeding', 'hansard']",fully specified,fully specified,"This question is fully specified because it asks for the commonly accepted alternative name of a well-known publication, ""The Journal Of The House Of Commons."" The referent is unambiguous, and the request is factually grounded in the standard naming conventions of parliamentary records. There are no missing components, no ambiguous references, and no subjective criteria involved.",['Hansard'],1,1.0
40,"According to the Old Testament, who was the wife of Abraham and the mother of Isaac ?",wh_4276,"['william cobb eureka', 'nathan stark', 'list of eureka characters', 'william cobb eureka character', 'colonel briggs eureka character', 'briggs eureka', 'henry deacon tv character', 'beverly barlowe', 'jack carter eureka', 'zoe carter', 'briggs eureka character', 'henry deacon eureka', 'douglas fargo eureka character', 'jo lupo', 'jim taggart eureka character', 'beverly barlowe eureka', 'beverly barlowe eureka character', 'allison blake eureka character', 'jack carter eureka character', 'jo lupo eureka character', 'nathan stark eureka character', 'sarah', 'joe lupo eureka character', 'jim taggart eureka', 'zane donovan', 'allison blake', 'allison blake eureka', 'zoe carter eureka character', 'henry deacon eureka character', 'douglas fargo']",fully specified,fully specified,"This question is fully specified because it refers to a well-defined biblical figure (Sarah) and her role in the Old Testament narrative. The referent is unambiguous, the scope is factual, and no missing components or subjective criteria are involved. The question directly asks for a historical and religious fact with no ambiguity.",['Sarah'],1,1.0
41,Who composed the Liverpool Oratorio in collaboration with Carl Davis?,odql_14990,"['mccartney paul', 'paul mccartney s solo career', 'apollo c vermouth', 'james paul mccartney', 'bernard webb', 'paul mcartney', 'wings lead singer', 'paul mc cartney', 'sir james paul mccartney', 'beatle paul', 'gladys jenkins', 'ballets to music of paul mccartney', 'sir james paul mccartney mbe', 'denis o bell', 'paul ramone', 'paul mccartny', 'sir paul mccartney', 'paul maccartney', 'paul ramon', 'paul mccartney', 'paul mccartney relationships and marriages']",fully specified,fully specified,"This question is fully specified because it refers to a specific musical work (""Liverpool Oratorio"") and explicitly asks for the composer who collaborated with Carl Davis. While Carl Davis is a conductor, the question is unambiguously asking for the composer of the work, which is a well-documented fact (William Walton). The referent is clear, and the scope is factual without requiring subjective interpretation or missing components.",['Paul McCartney'],1,1.0
42,Which French romantic artist who painted Massacre at Chios and Women of Algiers was born on this day in 1798?,odql_12335,"['eugene ferdinand victor delacroix', 'eugene de la croix', 'ferdinand delacroix', 'ferdinand victor eugen delacroix', 'ferdinand victor eugene delacroix', 'eugene delacroix', 'ferdinand eugène victor delacroix', 'delacroix ferdinand victor eugene', 'eugène ferdinand victor delacroix', 'eugène delacroix', 'ferdinand victor eugène delacroix', 'delacroix ferdinand victor eugène']",fully specified,fully specified,"This question is fully specified because it refers to a well-known historical fact: the French Romantic artist Eugène Delacroix, who was born on April 26, 1798, and is famously known for painting ""Massacre at Chios"" and ""Women of Algiers."" The referent is unambiguous, the scope is factual, and no missing components or subjective criteria are involved.",['Eugène Delacroix'],1,1.0
43,What did Tikki Tikki Tembo fall into?,jp_657,"['well album', 'well', 'well film', 'well disambiguation']",fully specified,fully specified,"This question is fully specified because it refers to a well-known children's book character (Tikki Tikki Tembo) and asks for the specific object or location he fell into, which is a clear and unambiguous detail from the story. The referent is precise, and no missing components or subjective interpretations are involved.",['A well'],1,1.0
