,request,gold_judgment,direct_source
100,What geographical feature of the ocean floor is between the shoreline and the continental slope?,fully specified,AmbigQA
1294,When was the first person sent to space?,fully specified,AmbigQA
1505,Who played the mohawk guy in road warrior?,fully specified,AmbigQA
1509,Who is jay park asia's got talent?,fully specified,AmbigQA
780,2014 kia soul front or rear wheel drive?,fully specified,AmbigQA
951,Who plays avery in when we first met?,fully specified,AmbigQA
1673,Who had the right in the roman republic to declare war?,fully specified,AmbigQA
251,Who was the voice of erica in hotel transylvania 3?,fully specified,AmbigQA
148,Where is the liver located in the human anatomy?,fully specified,AmbigQA
713,Where do the 6 carbon atoms in glucose come from?,fully specified,AmbigQA
714,Latin for dont let the bastards wear you down?,fully specified,AmbigQA
1216,What came out first arkham city or arkham asylum?,fully specified,AmbigQA
1130,Who played the judge in hang em high?,fully specified,AmbigQA
1747,What city are the sand dunes in colorado?,fully specified,AmbigQA
1931,When does far cry 5 come out pc?,fully specified,AmbigQA
1696,How many episodes in season 4 agents of shield?,fully specified,AmbigQA
1656,Who started the first news paper in india?,fully specified,AmbigQA
693,Who plays klaus in a series of unfortunate events netflix?,fully specified,AmbigQA
777,Ratio of length and width of indian flag?,fully specified,AmbigQA
668,Who played the maniac in it's always sunny?,fully specified,AmbigQA
281,What type of memory does reid have on criminal minds?,fully specified,AmbigQA
1426,Where was the first north american indigenous games held?,fully specified,AmbigQA
63,Who plays donna's grandfather in doctor who?,fully specified,AmbigQA
516,When does season 4 of orange is the new black start?,fully specified,AmbigQA
530,Who sang the song he stopped loving her today?,fully specified,AmbigQA
1017,The 2010 commonwealth games held in which country?,fully specified,AmbigQA
1873,What county is jersey city nj located in?,fully specified,AmbigQA
1634,Who plays the teacher on f the prom?,fully specified,AmbigQA
1217,Where did the bay of pigs take place?,fully specified,AmbigQA
701,In which country there is a provision of due process of law?,fully specified,AmbigQA
1382,Who did the british side with in the french and indian war?,fully specified,AmbigQA
1850,How many seasons of shameless usa is there?,fully specified,AmbigQA
283,What kind of car was ramone from cars?,fully specified,AmbigQA
456,Who sings tequila makes her cloths fall off?,fully specified,AmbigQA
1160,How many episodes of switched at birth season 1?,fully specified,AmbigQA
1737,Who plays gary in only fools and horses?,fully specified,AmbigQA
1846,Which city is famous for its large cinco de mayo celebration?,fully specified,AmbigQA
1075,How many episodes in chicago med season 3?,fully specified,AmbigQA
1932,When was the not too young to run bill signed into law?,fully specified,AmbigQA
432,Sky living nashville season 6 how many episodes?,fully specified,AmbigQA
871,What war is in the wonder woman movie?,fully specified,AmbigQA
1006,When did the us recognize texas as an independent nation?,fully specified,AmbigQA
1185,When did apple begin to sell the lisa computer?,fully specified,AmbigQA
165,Who gave the concept of ingroup and outgroup?,fully specified,AmbigQA
791,Who won america's got talent 2017 finals?,fully specified,AmbigQA
118,Who won the battle of blackburn's ford?,fully specified,AmbigQA
378,How many nuclear weapons did the soviet union have in 1945?,fully specified,AmbigQA
1274,Who plays the punisher on the netflix show?,fully specified,AmbigQA
1701,Who plays lauren in make it or break it?,fully specified,AmbigQA
1011,How many base pairs in diploid human genome?,fully specified,AmbigQA
554,Who played sam adams in sons of liberty?,fully specified,AmbigQA
1752,Who won the first academy award for best picture?,fully specified,AmbigQA
598,Who died in the book into thin air?,fully specified,AmbigQA
1658,Where was the show 13 reasons why filmed?,fully specified,AmbigQA
1618,In riverdale who does betty end up with?,fully specified,AmbigQA
1312,Volleyball became an official sport in the summer olympics in this year?,fully specified,AmbigQA
1490,How many times csk reached final in ipl?,fully specified,AmbigQA
733,Who plays the devil in tenacious d tribute?,fully specified,AmbigQA
1660,When did cars become more common than horses?,fully specified,AmbigQA
453,Who played the king in game of thrones season 1?,fully specified,AmbigQA
1863,Who dies in season 2 of orange is the new black?,fully specified,AmbigQA
644,What year did the ipod touch 4 come out?,fully specified,AmbigQA
1518,What is the record for most wins in jeopardy?,fully specified,AmbigQA
144,What is the function of starch granules in plant cells?,fully specified,AmbigQA
946,Who wrote the song paint me a birmingham?,fully specified,AmbigQA
369,Who wrote the song the night the lights went out in georgia?,fully specified,AmbigQA
1478,Who played harmonica on the wizard black sabbath?,fully specified,AmbigQA
1592,Using the letters of a word to make a poem?,fully specified,AmbigQA
543,In day of the locust where is tod hackett originally from?,fully specified,AmbigQA
816,When does the big bang theory season 11 start?,fully specified,AmbigQA
153,When was the last time mexico made it to the quarter finals in the world cup?,fully specified,AmbigQA
745,Who does jason sudeikis play on the cleveland show?,fully specified,AmbigQA
800,Where was the first woman's rights convention held?,fully specified,AmbigQA
227,Who played aang in the last airbender movie?,fully specified,AmbigQA
1204,How many episodes are in season 2 of the handmades tale?,fully specified,AmbigQA
1650,The person who is considered to be the founder of the paris haute couture was?,fully specified,AmbigQA
1968,How many episodes in season 1 of handmades tale?,fully specified,AmbigQA
991,Who played ashley banks on fresh prince of bel-air?,fully specified,AmbigQA
463,Who is the 28th president of the united states?,fully specified,AmbigQA
359,In which state is rana pratap sagar atomic power plant located?,fully specified,AmbigQA
1953,What was the name of bangladesh before independence?,fully specified,AmbigQA
1774,Who made communication by wireless telegraphy for the first time?,fully specified,AmbigQA
651,Who has become the first batsman to score three hundreds in t20 internationals?,fully specified,AmbigQA
230,When does the tour de france finish 2018?,fully specified,AmbigQA
1319,Where is the ferris wheel located in myrtle beach?,fully specified,AmbigQA
577,Who is one of the first german composers that we know about?,fully specified,AmbigQA
963,Who plays the genie in return of jafar?,fully specified,AmbigQA
910,Who plays chef jeff on switched at birth?,fully specified,AmbigQA
1988,Who voices the hairless cat in secret life of pets?,fully specified,AmbigQA
169,When did the metropolitan police force become a service?,fully specified,AmbigQA
782,Who plays henry on when calls the heart?,fully specified,AmbigQA
1189,When did the redskins win the super bowl?,fully specified,AmbigQA
770,Movie with james caan and james earl jones?,fully specified,AmbigQA
1854,Who plays linda belcher on bob's burgers?,fully specified,AmbigQA
747,Who wrote the hit three dog night song joy to the world?,fully specified,AmbigQA
1967,Who played festus on the tv show gunsmoke?,fully specified,AmbigQA
1300,Which character in les miserables sings on my own?,fully specified,AmbigQA
1270,India become member of un in the year?,fully specified,AmbigQA
1902,Who plays astrid how to train your dragon?,fully specified,AmbigQA
677,The first step in management by objectives is?,fully specified,AmbigQA
1526,When did the old guy on pawn stars die?,fully specified,AmbigQA
1877,Who plays emma in blue lagoon the awakening?,fully specified,AmbigQA
1132,Who plays jane in the theory of everything?,fully specified,AmbigQA
728,How many journeys did canada's first astronaut make to space?,fully specified,AmbigQA
289,What are the houses in bora bora called?,fully specified,AmbigQA
1661,Who plays erica on the last man on earth?,fully specified,AmbigQA
649,Who plays janie in their eyes were watching god?,fully specified,AmbigQA
171,Percentage of babies born at 24 weeks that survive?,fully specified,AmbigQA
457,The ratio of the wave height to its wave length is called?,fully specified,AmbigQA
470,Who sings lead on please let me wonder?,fully specified,AmbigQA
420,Greenland is considered part of north america. which country claims greenland?,fully specified,AmbigQA
1639,Who played tulsa in the space between us?,fully specified,AmbigQA
1307,Who sang the original son of a preacher man?,fully specified,AmbigQA
1761,When does season 8 episode 10 of shameless air?,fully specified,AmbigQA
1819,When was the last time an astronaut went to the moon?,fully specified,AmbigQA
150,How many islands are included in the federated states of micronesia?,fully specified,AmbigQA
294,When was the first international women's day celebrated?,fully specified,AmbigQA
1198,Who owns the rights to popeye the sailor?,fully specified,AmbigQA
466,What is the control panel on the computer?,fully specified,AmbigQA
1359,Who won the heisman trophy from penn state?,fully specified,AmbigQA
1324,Where are bases found on the ph scale?,fully specified,AmbigQA
750,Who is the actor that plays brick heck?,fully specified,AmbigQA
1550,Who ran in front of the kings horse?,fully specified,AmbigQA
565,How many trillion miles in a light year?,fully specified,AmbigQA
1298,The type of thunderstorm that has the most damaging winds and precipitation is a?,fully specified,AmbigQA
126,Who is considered the home team for super bowl 52?,fully specified,AmbigQA
1582,Who plays the female doctor in doctor strange?,fully specified,AmbigQA
1281,Who played third base for the cincinnati reds in 1975?,fully specified,AmbigQA
1141,Who is the she that gollum refers to?,fully specified,AmbigQA
1806,Who converted to christianity after winning a decisive battle?,fully specified,AmbigQA
1890,First person to have 1 million followers on twitter?,fully specified,AmbigQA
1740,What is the official residence of the vice president of the united states?,fully specified,AmbigQA
1984,How many cities in india has metro train?,fully specified,AmbigQA
1664,Who won the democratic nomination for president in 1980?,fully specified,AmbigQA
522,Who sang lead on something by the beatles?,fully specified,AmbigQA
1182,Who is the actor that plays green arrow?,underspecified,AmbigQA
1156,When was the clock tower in london built?,underspecified,AmbigQA
114,Who dies in how to train your dragon 2?,underspecified,AmbigQA
1796,Who raps in the gorillaz song clint eastwood?,underspecified,AmbigQA
1449,Who dies at the end of the movie remember the titans?,underspecified,AmbigQA
1303,When did the apple tv 4k come out?,underspecified,AmbigQA
569,Who plays light's dad in death note?,underspecified,AmbigQA
1885,Who wins at the end of friday night lights?,underspecified,AmbigQA
619,When did the first generation kindle fire come out?,underspecified,AmbigQA
596,When did the byzantine empire start to decline?,underspecified,AmbigQA
201,Who plays the female detective in person of interest?,underspecified,AmbigQA
270,What was the name of the frat in animal house?,underspecified,AmbigQA
1056,Who sings i love rock 'n' roll?,underspecified,AmbigQA
1872,What religion are they in call the midwife?,underspecified,AmbigQA
387,A systolic bp value is the pressure when?,underspecified,AmbigQA
451,Who wrote the south carolina ordinance of secession?,underspecified,AmbigQA
1016,Where does most star formation take place in the milky way?,underspecified,AmbigQA
186,Who made the song when i see you again?,underspecified,AmbigQA
1356,What do the five stars on the australian flag stand for?,underspecified,AmbigQA
535,When was the last time england got to a world cup quarter final?,underspecified,AmbigQA
590,Who played lead guitar for the rolling stones?,underspecified,AmbigQA
859,How many states in india are under congress?,underspecified,AmbigQA
84,The dna directed synthesis of an rna molecule is called?,underspecified,AmbigQA
840,Where is the world cup going to be in 2019?,underspecified,AmbigQA
1570,Who is the president of miami dade college?,underspecified,AmbigQA
994,When was the makkah royal clock tower hotel built?,underspecified,AmbigQA
1928,What is the lowest # on the fm dial?,underspecified,AmbigQA
1993,When did the cleveland browns come back to the nfl?,underspecified,AmbigQA
1054,When is the last time the astros won a world series?,underspecified,AmbigQA
1004,When was the last world cup that brazil won?,underspecified,AmbigQA
1348,When is the next modern family episode airing?,underspecified,AmbigQA
898,Where did they film the witches of eastwick?,underspecified,AmbigQA
204,Who plays ruths mum in home and away?,underspecified,AmbigQA
1692,The new adventures of old christine season 3 episode 7?,underspecified,AmbigQA
1210,Who won the battle of philippi civil war?,underspecified,AmbigQA
1105,When does the new ep of riverdale come out?,underspecified,AmbigQA
1220,How many starbucks are there around the world?,underspecified,AmbigQA
51,When does hook show up in once upon a time?,underspecified,AmbigQA
1434,Who plays football on new years day 2018?,underspecified,AmbigQA
1612,Who is in charge of the hollywood walk of fame?,underspecified,AmbigQA
947,When did the united states purchase the louisiana territory?,underspecified,AmbigQA
883,Who thought atoms and the void comprised all of reality?,underspecified,AmbigQA
1282,Who is the most successful goal scorer in the history of the eufa champions league?,underspecified,AmbigQA
1106,What was the treatment in a beautiful mind?,underspecified,AmbigQA
877,Who sang if i were a boy originally?,underspecified,AmbigQA
1455,What has the hottest temperature been on earth?,underspecified,AmbigQA
943,Where does peanut butter jelly time come from?,underspecified,AmbigQA
333,When was on the revolutions of the heavenly spheres published?,underspecified,AmbigQA
1795,When was the vietnam veterans war memorial built?,underspecified,AmbigQA
1013,Who was involved in the battle of goliad?,underspecified,AmbigQA
1495,Where was the opening of three's company filmed?,underspecified,AmbigQA
604,Who sang still crazy after all these years?,underspecified,AmbigQA
1916,What episode of law and order was ludacris on?,underspecified,AmbigQA
1839,Who played nancy's boyfriend in stranger things?,underspecified,AmbigQA
1389,Who played grandpa joe in charlie and the chocolate factory?,underspecified,AmbigQA
395,When did the fur trade began in canada?,underspecified,AmbigQA
614,When did the french join revolution on colonists side?,underspecified,AmbigQA
788,Who serves as the president of the senate in the texas legislature?,underspecified,AmbigQA
1233,India rank in world bank ease of doing business?,underspecified,AmbigQA
676,Who sings that was then this is now?,underspecified,AmbigQA
539,Greenland is the largest island in the world in which continent it is situated?,underspecified,AmbigQA
1470,Who played cowboy curtis on pee wee herman?,underspecified,AmbigQA
857,Who sings been through the desert on a horse with no name?,underspecified,AmbigQA
152,When did india conduct the nuclear test at pokhran?,underspecified,AmbigQA
1378,Who inspired the title of a raisin in the sun?,underspecified,AmbigQA
526,What is the pig called in charlotte's web?,underspecified,AmbigQA
155,Who is the captain of colombia football team?,underspecified,AmbigQA
707,Who did the original while my guitar gently weeps?,underspecified,AmbigQA
1252,When was the last time michigan was in the elite eight?,underspecified,AmbigQA
834,Record for three pointers in a game ncaa?,underspecified,AmbigQA
1610,Who played matt brody on the original baywatch?,underspecified,AmbigQA
812,When was the first film made in america?,underspecified,AmbigQA
98,Who plays the white queen in alice through the looking glass?,underspecified,AmbigQA
1820,When was the greatest showman released in theaters?,underspecified,AmbigQA
511,Who did the artwork for pink floyd's wall?,underspecified,AmbigQA
1965,Who sings i want to rock with you?,underspecified,AmbigQA
1586,Who was the first pharaoh to be buried in a pyramid?,underspecified,AmbigQA
609,Who played zorro son in the legend of zorro?,underspecified,AmbigQA
38,How many championships did the cleveland browns win?,underspecified,AmbigQA
1914,When did the knicks win their last championship?,underspecified,AmbigQA
1440,Who sang i can't let maggie go?,underspecified,AmbigQA
885,Who does the little prince meet on earth?,underspecified,AmbigQA
826,When is the day as long as the night?,underspecified,AmbigQA
881,Who is playing parvati role in mahadev serial?,underspecified,AmbigQA
400,When has argentina won the fifa world cup?,underspecified,AmbigQA
632,Who was the first singing brothers in the hall of fame?,underspecified,AmbigQA
215,Who sings youre the biggest part of me?,underspecified,AmbigQA
1165,When is the new series of doctor who coming on?,underspecified,AmbigQA
1805,Who has the most wins in an mlb season?,underspecified,AmbigQA
1710,When did the brisbane broncos last won a premiership?,underspecified,AmbigQA
1989,When was the last refinery built in the united states?,underspecified,AmbigQA
1155,What was jesse's wife's name on full house?,underspecified,AmbigQA
986,How many culver's are there in the united states?,underspecified,AmbigQA
1629,Who plays the mayor in the new ghostbusters?,underspecified,AmbigQA
347,Who sang what a difference a day make?,underspecified,AmbigQA
648,Who is the girl in zz top legs video?,underspecified,AmbigQA
79,Who is the actor that plays anakin skywalker?,underspecified,AmbigQA
276,Who sang the theme tune to dear john?,underspecified,AmbigQA
365,What is the name of the tower big ben is in?,underspecified,AmbigQA
357,Where does the ophthalmic nerve exit the skull?,underspecified,AmbigQA
125,What scripture talks about the whole armor of god?,underspecified,AmbigQA
1635,When did the original willy wonka come out?,underspecified,AmbigQA
19,Who the female singer on gimme shelter?,underspecified,AmbigQA
978,Who got eliminated in india's next superstar on 1st april 2018?,underspecified,AmbigQA
1844,What is the objective of tour de france?,underspecified,AmbigQA
1279,Where do lake huron and lake michigan meet?,underspecified,AmbigQA
1549,Who plays max in secret life of pets?,underspecified,AmbigQA
1023,Who is the narrator for the tv show snapped?,underspecified,AmbigQA
753,How do you pronounce the capital of burkina faso?,underspecified,AmbigQA
1395,When does the ration shop open in india?,underspecified,AmbigQA
553,Where did peanut butter and jelly time come from?,underspecified,AmbigQA
732,In the dream of the rood what is the rood eventually drenched in?,underspecified,AmbigQA
178,What does gvwr stand for on a truck?,underspecified,AmbigQA
143,How many grammy awards does whitney houston have?,underspecified,AmbigQA
818,When did plywood come into use in furniture?,underspecified,AmbigQA
874,When does thrill of it all come out?,underspecified,AmbigQA
1835,When was the first percy jackson book published?,underspecified,AmbigQA
796,When was america taken off the gold standard?,underspecified,AmbigQA
853,What episode does jaime lannister lose his hand?,underspecified,AmbigQA
339,What were the seven ancient wonders of the world?,underspecified,AmbigQA
1485,When was the last time man united were in the champions league?,underspecified,AmbigQA
561,Who won gold in rio paraolympic high jump?,underspecified,AmbigQA
306,Most clean sheets in la liga all time?,underspecified,AmbigQA
1240,Was the memphis belle the first to complete 25 missions?,underspecified,AmbigQA
1753,When did the albany plan of union take place?,underspecified,AmbigQA
438,Who is the author of series of unfortunate events?,underspecified,AmbigQA
1514,Who was the ruler of france in 1830?,underspecified,AmbigQA
915,Who's won the most world series in baseball?,underspecified,AmbigQA
450,When did legend of zelda majoras mask come out?,underspecified,AmbigQA
426,Who is the mayor of warner robins ga?,underspecified,AmbigQA
1596,Who played flash gordon in the tv series?,underspecified,AmbigQA
1720,Who wrote the song where do we go from here?,underspecified,AmbigQA
133,What was the number one song on october 2 1975?,underspecified,AmbigQA
719,Explain to me the concept of compounding interest and how it affects long-term savings.,fully specified,IN3
36,How many daughters do George Washington have?,fully specified,IN3
495,Provide an overview of the Renaissance period and highlight key artists and their contributions.,fully specified,IN3
315,"Explain how to perform basic car repairs like changing a tire, checking oil levels, and replacing windshield wipers.",fully specified,IN3
568,Explain what carbon footprint is and how I can reduce mine in daily life.,fully specified,IN3
931,Compare the tallest mountains in each continent,fully specified,IN3
996,Search for a simple Italian pasta recipe that includes garlic and tomatoes.,fully specified,IN3
935,What are the top 10 most endangered animals in the world?,fully specified,IN3
52,Identify the most common types of cyber attacks in 2022.,fully specified,IN3
527,Get the current NBA standings.,fully specified,IN3
1011,Find the current price of Bitcoin in USD.,fully specified,IN3
1138,Provide a 5-day weather forecast for Miami.,fully specified,IN3
1053,Find the current most viewed livestream on Twitch.,fully specified,IN3
1231,I'm trying to understand more about intermittent fasting. Can you explain how it works and what the potential benefits and risks are?,fully specified,IN3
369,List the current top 5 tech companies based on their stock market value.,fully specified,IN3
1164,"What is the current weather forecast for Paris, France?",fully specified,IN3
983,Explain the concept of neural networks and its role in machine learning.,fully specified,IN3
80,Find the most impactful education theorists of the 20th century and summarize their key contributions.,fully specified,IN3
855,Outline the best practices for password security.,fully specified,IN3
157,Find the latest data on US GDP growth.,fully specified,IN3
1251,Who was the president of the United States in 2000?,fully specified,IN3
124,Get the annual revenue of Microsoft for the past three years.,fully specified,IN3
571,"Give me instructions on how to create a simple 'Hello, World!' program in Python.",fully specified,IN3
372,Write a python function that can calculate the Fibonacci series up to the 20th term.,fully specified,IN3
918,Identify the top three countries with the highest deforestation rates in the past five years.,fully specified,IN3
266,Analyze the stock market performance of Apple Inc. for the last quarter.,fully specified,IN3
295,What is the estimated population of African elephants?,fully specified,IN3
55,Check today's weather in New York City.,fully specified,IN3
182,Explain how blockchain technology works and provide a simple example of its application in finance.,fully specified,IN3
598,"I'm interested in starting watercolor painting. What materials do I need to begin, and can you suggest any beginner tutorials?",fully specified,IN3
1039,Explain the basic concepts of object-oriented programming with examples written in Python.,fully specified,IN3
207,List the top 10 highest-grossing movies of 2020.,fully specified,IN3
739,Make a probability distribution of rolling two six-sided dice.,fully specified,IN3
814,Explain the basics of data analysis using pandas in Python and give me simple tasks to get started.,fully specified,IN3
160,Give me a list of the top ten most critically acclaimed movies of the past decade.,fully specified,IN3
562,Find the top 3 most popular Python libraries for data science.,fully specified,IN3
117,Teach me how to create a pivot table in Excel using sales data.,fully specified,IN3
991,"I have dietary restrictions (gluten-free, dairy-free). Find me five recipes for desserts that meet these criteria.",fully specified,IN3
911,Identify the 5 countries with the highest CO2 emissions.,fully specified,IN3
811,A faucet in my kitchen is leaking. Provide me with a troubleshooting guide and the necessary steps to repair it myself.,fully specified,IN3
588,Extract the headlines and brief descriptions of the top 5 news articles on CNN.,fully specified,IN3
494,I'm studying Python and I'm confused about decorators. Explain decorators in Python with examples.,fully specified,IN3
547,Provide tips on how to reduce waste and recycle more effectively at home.,fully specified,IN3
936,Find the winning team of the latest Football World Cup.,fully specified,IN3
965,Teach me how to write a simple 'Hello World' program in Java. What are the steps involved?,fully specified,IN3
111,When is the next predicted meteor shower?,fully specified,IN3
989,Find the current exchange rate from Euros to US Dollars.,fully specified,IN3
392,"What are the best hybrid cars of this year under $30,000?",fully specified,IN3
907,Compile a list of pros and cons for using Kubernetes.,fully specified,IN3
225,Recommend 3 popular Japanese anime released in 2023.,fully specified,IN3
700,I want to start investing in the stock market. Can you explain the basics of stock market investment and recommend some beginner-friendly platforms?,fully specified,IN3
808,"Show me methods to improve my memory retention for studying foreign languages. Particularly, I need techniques that could fit into a hectic lifestyle.",fully specified,IN3
1122,Find out what the top five Billboard hits are this week.,fully specified,IN3
595,"Find me a recipe for a vegan chocolate cake, including the ingredients and baking instructions.",fully specified,IN3
731,Check the version of the installed Linux Kernel.,fully specified,IN3
367,Convert 500 Euros to US dollars based on the current exchange rate.,fully specified,IN3
791,Find the most subscribed Python programming course on Udemy.,fully specified,IN3
897,Find out the top 5 highest grossing animated movies of 2021.,fully specified,IN3
775,Find the historical data for the S&P 500 index in the last five years.,fully specified,IN3
1206,Identify the top 5 performing stocks in the tech sector for 2021.,fully specified,IN3
797,What are the five largest countries by surface area?,fully specified,IN3
587,Write a bash command to list all directories and subdirectories in the current path.,fully specified,IN3
441,Find a recipe for a vegan lasagna that can be prepared in less than an hour.,fully specified,IN3
625,Explain the process of photosynthesis in a simple manner suitable for a middle school class presentation.,fully specified,IN3
754,Educate me about common online scams and how to protect myself from them.,fully specified,IN3
1246,Identify the most recent winner of the Nobel Prize in Physics.,fully specified,IN3
555,Explain the importance of micronutrients in a diet and how I can ensure I'm getting enough of them.,fully specified,IN3
933,Fetch the current NBA standings.,fully specified,IN3
1211,Find me a summary of the book 'Pride and Prejudice'.,fully specified,IN3
396,Find out who were the presidents of the United States during the 20th century.,fully specified,IN3
1169,Find the average temperature of Miami in July.,fully specified,IN3
572,I'd like to repair a torn shirt. Show me how to sew the tear by hand with a step-by-step guide.,fully specified,IN3
412,"Provide a list of important landmarks in Berlin, Germany.",fully specified,IN3
1215,Compare the average annual rainfall of London and Paris.,fully specified,IN3
438,What is the average cost of a single-family home in Miami?,fully specified,IN3
176,Find the newest version of Django and its documentation.,fully specified,IN3
627,"Find and list all albums by Radiohead, sorted by release date.",fully specified,IN3
426,List all World Heritage Sites in Italy.,fully specified,IN3
453,Find the top 5 economies in the world based on GDP.,fully specified,IN3
33,Find the best-rated vacuum cleaners under $200 on Amazon.,fully specified,IN3
300,I want to secure my online accounts. What are the best practices for creating strong passwords and managing them?,fully specified,IN3
939,Who won the Wimbledon Men's Singles title in 2001?,fully specified,IN3
783,Compare the specifications of MacBook Pro 13-inch 2021 and Dell XPS 13 2021.,fully specified,IN3
1111,Look up the current exchange rate from USD to Euro.,fully specified,IN3
349,Generate a list of top-rated mystery movies in 2021.,fully specified,IN3
1003,Identify the trending topics on Twitter in the last 24 hours.,fully specified,IN3
623,Provide a list of all Oscar-winning movies from 2000 to 2020.,fully specified,IN3
1116,Determine the specifications of the latest iPhone model.,fully specified,IN3
763,I'm reading a classic novel and I would like to understand the main themes. Can you provide an analysis of the key themes in 'Pride and Prejudice' by Jane Austen?,fully specified,IN3
187,I often feel stressed. Can you find me some evidence-based stress reduction techniques I could practice daily?,fully specified,IN3
68,Detail the steps to resize an image using Python.,fully specified,IN3
215,Find the current COVID-19 statistics for New York.,fully specified,IN3
173,"I want to learn how to bake bread. Find me a simple recipe for beginners, and list the equipment I'll need.",fully specified,IN3
252,I'm interested in watercolor painting. List the basic supplies I need to get started and recommend some beginner tutorials.,fully specified,IN3
1214,Search for the top rated fantasy novels in 2021.,fully specified,IN3
142,Rank the top 10 universities in the world according to the latest Times Higher Education World University Rankings.,fully specified,IN3
471,Search for the latest changes in internet privacy laws in the United Kingdom.,fully specified,IN3
899,Find a list of top ten animated movies in 2020.,fully specified,IN3
515,Find the system requirements for the latest version of Minecraft.,fully specified,IN3
279,Identify the top ten highest grossing films of all time.,fully specified,IN3
480,Find out the top 6 movies in the box office last week.,fully specified,IN3
741,What are the health benefits of consuming green tea daily?,fully specified,IN3
1005,Can you recommend mystery novels with a strong female lead?,fully specified,IN3
414,Search for the visa requirements for a US citizen travelling to Australia.,fully specified,IN3
244,Write a Python script to find all prime numbers under 1000.,fully specified,IN3
569,Explain how to set up a secure home Wi-Fi network step by step.,fully specified,IN3
1194,Delete all mp3 files from the 'music' folder.,fully specified,IN3
419,"I'm interested in amateur astronomy. Can you provide information on how to get started, including equipment needed and beginner resources?",fully specified,IN3
760,Fetch the current stock price of Microsoft.,fully specified,IN3
164,"Provide a list of upcoming virtual reality games worth playing, including their release dates and platforms.",fully specified,IN3
1232,Explain the concept of quantum entanglement to me in simple terms.,fully specified,IN3
923,Find out the weather forecast for Las Vegas for the next week.,fully specified,IN3
1225,Find the nutritional facts for an avocado.,fully specified,IN3
713,I need to understand the pros and cons of buying vs leasing a car.,fully specified,IN3
2,"I'm interested in learning to play the ukulele. Find me a beginner's guide to playing the ukulele that includes chords, strumming patterns, and easy songs to start with.",fully specified,IN3
27,I'm interested in French culture. Provide a list of 10 classic French films that I should watch.,fully specified,IN3
415,What's the weather like in Barcelona right now?,fully specified,IN3
268,Explain the different types of telescopes and which one would be best for a beginner astronomer.,fully specified,IN3
509,List the top 10 most popular video games right now and a brief overview of each.,fully specified,IN3
634,Give me a rundown of climate change's current impact on polar regions.,fully specified,IN3
1187,Find out the cast of the movie 'Inception'.,fully specified,IN3
929,Search for the most common type of tree in North America.,fully specified,IN3
457,Find out who won the Pulitzer Prize in fiction in 1985.,fully specified,IN3
445,Compare the features of iPhone 11 and Samsung Galaxy S21.,fully specified,IN3
1255,Find the current market capitalization of Ethereum.,fully specified,IN3
883,Provide guidelines on how to write an effective resume for a tech job.,fully specified,IN3
497,Who painted 'The Starry Night' and in what year?,fully specified,IN3
218,Identify the most followed personalities on Twitter.,fully specified,IN3
318,Teach me about the history and significance of the Chinese New Year celebrations.,fully specified,IN3
878,List out all the directories in the current path.,fully specified,IN3
740,Find the calorie content of 100g of broccoli.,fully specified,IN3
59,What major events occurred in Los Angeles last week?,fully specified,IN3
1245,Suggest a highly-rated thriller movie released in the last 5 years.,fully specified,IN3
