,request,gold_judgment,direct_source,category,reasoning,original_annotation
4445,When does new episode of game of thrones come out?,underspecified,AmbigNQ,Undetermined lexicons or references,"Since ""new"" can map to a temporal range, there can be multiple episode referents for the phrase  ""new episode"". Without clarifying which episode is meant, the question leaves multiple same-level referents undetermined and is thus underspecified.","{""annotations"": [{""type"": ""multipleQAs"", ""qaPairs"": [{""question"": ""When does season 7 episode 7 of game of thrones come out?"", ""answer"": [""August 27, 2017""]}, {""question"": ""When does season 7 episode 6 of game of thrones come out?"", ""answer"": [""August 20, 2017""]}, {""question"": ""When does season 7 episode 5 of game of thrones come out?"", ""answer"": [""August 13, 2017""]}]}], ""id"": ""-3645654930058536282"", ""question"": ""When does new episode of game of thrones come out?""}"
8506,When does the movie dog days come out?,underspecified,AmbigNQ,"Undetermined lexicons or references, Missing necessary components","The movie title “Dog Days” is referentially ambiguous because it can refer to several different films sharing the same or similar title. Additionally, the release date strongly depends on location (country or region), but the question lacks this necessary component to specify where. Both factors make the question underspecified.","{""annotations"": [{""type"": ""multipleQAs"", ""qaPairs"": [{""question"": ""When does the movie Dog Days (1925) come out?"", ""answer"": [""March 8, 1925""]}, {""question"": ""When does the movie Dog Days (2001) come out?"", ""answer"": [""September 2, 2001""]}, {""question"": ""When does the movie Dog Days (2018) come out?"", ""answer"": [""August 8, 2018""]}]}], ""id"": ""-3085601502588501742"", ""question"": ""When does the movie dog days come out?""}"
8955,Who plays lily on how i met your mother?,underspecified,AmbigNQ,Undetermined lexicons or references,"There are several actresses who portray Lily at different ages in the show, meaning there are multiple same-level individual referents available. Without specifying which version or age of the character is meant, the question remains underspecified.","{""annotations"": [{""type"": ""multipleQAs"", ""qaPairs"": [{""question"": ""Who plays adult  lily on how i met your mother?"", ""answer"": [""Alyson Hannigan""]}, {""question"": ""Who plays 11-year old lily on how i met your mother?"", ""answer"": [""Piper Mackenzie Harris""]}, {""question"": ""Who plays 7-year old  lily on how i met your mother?"", ""answer"": [""Francesca Capaldi""]}]}], ""id"": ""8231050881946082043"", ""question"": ""Who plays lily on how i met your mother?""}"
8845,Who did the song they're coming to take me away?,underspecified,AmbigNQ,Undetermined perspective or granularity,"The verb “did” can be interpreted from multiple perspectives in the context of song production: it could refer to the person who wrote the song, the one who produced it, the recording artist, or the lead singer. Without specifying which role is meant, the question remains underspecified.","{""annotations"": [{""type"": ""multipleQAs"", ""qaPairs"": [{""question"": ""Who wrote the song \""They're Coming to Take Me Away\""?"", ""answer"": [""Jerry Samuels"", ""N. Bonaparte""]}, {""question"": ""Who produced the song\""They're Coming to Take Me Away\""?"", ""answer"": [""A Jepalana Production""]}, {""question"": ""Who recorded the song \""They're Coming to Take Me Away\""?"", ""answer"": [""Jerry Samuels"", ""Jerrold Samuels"", ""Napoleon XIV""]}]}], ""id"": ""-5937374659155907701"", ""question"": ""Who did the song they're coming to take me away?""}"
1151,Who were the four aces in the military's most wanted deck of cards?,underspecified,AmbigNQ,Undetermined lexicons or references,"The phrase “military’s most wanted deck of cards” is referentially ambiguous because it can refer to several different decks; the most famous is the U.S. military’s deck from the Iraq War, but the Israeli IDF also has a similar deck for Hamas targets. Without specifying which deck is meant, multiple parallel referents are left undetermined and the question is underspecified.","{""annotations"": [{""type"": ""multipleQAs"", ""qaPairs"": [{""question"": ""Who was the ace of spades in the US military's most-wanted playing cards during the 2003 invasion of Iraq?"", ""answer"": [""Saddam Hussein""]}, {""question"": ""Who was the ace of clubs in the US military's most-wanted playing cards during the 2003 invasion of Iraq?"", ""answer"": [""Qusay"", ""son of former Iraqi President Saddam Hussein"", ""Qusay Saddam Hussein al-Tikriti"", ""Qusay Hussein""]}, {""question"": ""Who was the ace of hearts in the US military's most-wanted playing cards during the 2003 invasion of Iraq?"", ""answer"": [""Uday"", ""Uday Saddam Hussein al-Tikriti"", ""eldest child of Saddam Hussein"", ""Uday Hussein""]}, {""question"": ""Who was the ace of diamonds in the US military's most-wanted playing cards during the 2003 invasion of Iraq?"", ""answer"": [""Saddam's presidential secretary"", ""Abid Hamid Mahmud al-Tikriti""]}]}], ""id"": ""8329007430165668321"", ""question"": ""Who were the four aces in the military's most wanted deck of cards?""}"
7255,Who was the lead singer of the manhattans?,underspecified,AmbigNQ,Missing necessary components,"The band had several different lead singers over various time periods, so answering the question depends on knowing which time frame is being referred to. Since the necessary time information is missing, the question is underspecified.","{""annotations"": [{""type"": ""multipleQAs"", ""qaPairs"": [{""question"": ""Who was the original lead singer of the R&B group The Manhattans?"", ""answer"": [""George \""Smitty\"" Smith""]}, {""question"": ""Who was the leader singer of The Manhattans throughout the 1970s?"", ""answer"": [""Gerald Alston""]}, {""question"": ""Who was the lead singer of The Manhattans from 1988 to 1991?"", ""answer"": [""Roger Harris""]}, {""question"": ""Who was the lead singer of the Manhattans from April to July 1991?"", ""answer"": [""Wade Taylor""]}, {""question"": ""Who was the lead singer of The Manhattans from 1991 to 2015?"", ""answer"": [""Lee Williams""]}, {""question"": ""Who is the lead singer of The Manhattans since 2015?"", ""answer"": [""Keni Jackson""]}]}], ""id"": ""-1115529914633169760"", ""question"": ""Who was the lead singer of the manhattans?""}"
5084,Where is the pac 12 football championship played?,underspecified,AmbigNQ,Missing necessary components,"This question refers to a recurring sports event, and the location can vary across different years. To answer it accurately, the specific time or year needs to be provided, but that necessary time information is missing.","{""annotations"": [{""type"": ""multipleQAs"", ""qaPairs"": [{""question"": ""Where is the PAC12 Football Championship played in 2017?"", ""answer"": [""Levi Stadium""]}, {""question"": ""Where is the PAC12 Football Championship played in 2016?"", ""answer"": [""Levi Stadium""]}, {""question"": ""Where is the PAC12 Football Championship played in 2015?"", ""answer"": [""Levi Stadium""]}]}], ""id"": ""-8715795200533251482"", ""question"": ""Where is the pac 12 football championship played?""}"
837,When is the fa cup semi final played?,underspecified,AmbigNQ,Missing necessary components,"The question concerns the exact date of a recurrent sports event, thus its answer is strongly dependent on inputting the information of a specific year, but this information of a specific year is missing.","{""annotations"": [{""type"": ""multipleQAs"", ""qaPairs"": [{""question"": ""When is the fa cup semi final played in 2017?"", ""answer"": [""23 April 2017"", ""22 April 2017"", ""22 and 23 April 2017""]}, {""question"": ""When is the fa cup semi final played in 2016?"", ""answer"": [""23 April 2016"", ""24 April 2016"", ""23 and 24 April 2016""]}, {""question"": ""When is the fa cup semi final played in 2015?"", ""answer"": [""18 April 2015"", ""19 April 2015"", ""18 and 19 April 2015""]}]}], ""id"": ""4753267486498862578"", ""question"": ""When is the fa cup semi final played?""}"
3678,Dragon ball z super next episode release date?,underspecified,AmbigNQ,Undetermined lexicons or references,"""next episode"" can potentially have multiple referents as no precise time information is available in the question.

External retrieval of time to supplement the reasoning, but it doesn't mean that the question itself is not underspecified.","{""annotations"": [{""type"": ""multipleQAs"", ""qaPairs"": [{""question"": ""Dragon ball z super episode 121 original release date?"", ""answer"": [""December 24, 2017""]}, {""question"": ""Dragon ball z super episode 120 original release date?"", ""answer"": [""December 17, 2017""]}, {""question"": ""Dragon ball z super episode 119 original release date?"", ""answer"": [""December 10, 2017""]}]}], ""id"": ""-3591220953168500677"", ""question"": ""Dragon ball z super next episode release date?""}"
6962,When is a new season of fairy tail coming out?,underspecified,AmbigNQ,Undetermined lexicons or references,"The phrase “next episode” can refer to multiple possible referents because, without specifying the exact point in time, it is unclear whether the question refers to the upcoming episode, a future season, or a delayed release. While external knowledge can help, the question itself remains underspecified.","{""annotations"": [{""type"": ""multipleQAs"", ""qaPairs"": [{""question"": ""When did season 8 of Fairy Tail originally air?"", ""answer"": [""January 9, 2016""]}, {""question"": ""When did season 7 of Fairy Tail originally air?"", ""answer"": [""April 5, 2014""]}, {""question"": ""When did season 6 of Fairy Tail originally air?"", ""answer"": [""October 6, 2012""]}, {""question"": ""When did season 6 of Fairy Tail originally air in English?"", ""answer"": [""November 17,2015""]}, {""question"": ""When did season 5 of Fairy Tail originally air in English?"", ""answer"": [""May 19, 2015""]}, {""question"": ""When did season 4 of Fairy Tail originally air in English?"", ""answer"": [""Novermber 25, 2014""]}]}], ""id"": ""-8321209347152883639"", ""question"": ""When is a new season of fairy tail coming out?""}"
3821,First clinical gene therapy was done for the treatment of?,underspecified,AmbigNQ,Undetermined perspective or granularity,"The word “done” can be interpreted from multiple perspectives: it could refer to the first-ever clinical attempt (implementation) or to the first successful and effective treatment. Without specifying which aspect is meant, the question can be regarded as underspecified.","{""annotations"": [{""type"": ""multipleQAs"", ""qaPairs"": [{""question"": ""The first clinical gene therapy that was ultimately unsuccessful was done for the treatment of?"", ""answer"": [""beta-thalassemia""]}, {""question"": ""First clinical gene therapy widely accepted as successful was done for the treatment of?"", ""answer"": [""severe immune system deficiency"", ""ADA-SCID""]}]}], ""id"": ""-7211772058722193204"", ""question"": ""First clinical gene therapy was done for the treatment of?""}"
3199,Sharks rays and skates belong to what group?,underspecified,AmbigNQ,Undetermined perspective or granularity,"The term “group” can refer to multiple taxonomic granularities, such as class, subclass, or order. Without clarifying which classification level is intended, the question leaves room for multiple valid interpretations.","{""annotations"": [{""type"": ""multipleQAs"", ""qaPairs"": [{""question"": ""Sharks rays and skates belong to what class?"", ""answer"": [""Chondrichthyes""]}, {""question"": ""Sharks rays and skates belong to what subclass?"", ""answer"": [""Elasmobranchii""]}, {""question"": ""Sharks rays and skates belong to what superorder?"", ""answer"": [""Batoide""]}]}], ""id"": ""1371058892557963082"", ""question"": ""Sharks rays and skates belong to what group?""}"
4280,Who is the football coach at penn state?,underspecified,AmbigNQ,Undetermined lexicons or references,"The phrase “football coach” can refer to several roles within the coaching staff, such as the head coach, offensive coordinator, or defensive coordinator. Without specifying which role is meant, the referent is left ambiguous.","{""annotations"": [{""type"": ""multipleQAs"", ""qaPairs"": [{""question"": ""Who is the head football coach at Penn State?"", ""answer"": [""James Franklin""]}, {""question"": ""Who is the defensive coordinator at Penn State?"", ""answer"": [""Brent Pry""]}, {""question"": ""Who is the offensive coordinator at Penn State?"", ""answer"": [""Ricky Rahne""]}]}], ""id"": ""6727771107310216322"", ""question"": ""Who is the football coach at penn state?""}"
76,Find a way to convert audio files from one format to another using python.,underspecified,IN3,"Undetermined standard or preference, Undetermined lexicons or references","The task depends on user preference, such as the Python environment setup and the user’s familiarity with Python libraries. Additionally, it lacks clarity on which specific audio formats are involved, making the referents intended by ""one format to another"" undetermined. Both factors make the request underspecified.","The task is clear in its main goal, which is to convert audio files from one format to another using Python. However, it lacks details on the specific audio formats involved (source and target formats), the desired python libraries or methods to be used, and the user's level of familiarity with Python programming. These details can significantly impact the solution provided."
27,Develop a Python script that logs daily food intake and calculates nutritional information.,underspecified,IN3,"Undetermined standard or preference, Undetermined perspective or granularity","The request is underspecified because it does not clarify which kind of nutritional information should be calculated (e.g., calories, macronutrients, micronutrients) based on the user's standard or preference. Additionally, it does not specify which aspect or level of detail of the nutritional data is expected, making the granularity of the task ambiguous.","The task of developing a Python script to log daily food intake and calculate nutritional information is clear in its general goal, but it lacks specific details that would be necessary to start coding. It's not specified what nutritional information should be calculated, how the food intake should be logged (format, data structure), or any user preferences for how the script should function or present data. These details are crucial for the implementation of such a script."
80,Analyze the performance of the tech sector in the stock market last quarter.,underspecified,IN3,"Undetermined lexicons or references, Undetermined standard or preference, Undetermined perspective or granularity","The request does not clarify which stock market or index is being referred to, leaving the referent vague. It also lacks details on which performance metrics are of interest, such as returns, volatility, or market share, making the evaluative standard and preference unclear. Additionally, it is unspecified which aspect or level of the tech sector should be analyzed, from broad sector-level trends to more detailed company-level performance, creating ambiguity in granularity. Combining all there factors, the request is underspecified.","The task is to analyze the performance of the tech sector in the stock market last quarter. However, it does not specify which stock market (e.g., NYSE, NASDAQ), which companies or indices within the tech sector to focus on, what specific metrics to analyze (e.g., stock price growth, revenue growth, profitability), or the user's purpose for the analysis (e.g., investment decisions, research, comparison with other sectors)."
81,Develop a script to automate social media posts for my business.,underspecified,IN3,Undetermined lexicons or references,"The request does not clarify what kind of business is involved, leaving the referent of ""my business"" vague. Additionally, it lacks details on preferences such as the desired post style, posting frequency, target language, and tone, all of which are essential for accurately fulfilling the request. Both factors make the request underspecified.","The task of developing a script to automate social media posts for a business is vague because it lacks specific details about the platform(s) targeted, the type of content to be posted, the frequency of posts, any specific timing or scheduling preferences, and if there are any specific technologies or languages that should be used for the script. Without this information, it's challenging to know what the user's exact needs and preferences are."
0,Find a recipe for homemade pizza.,underspecified,IN3,Undetermined standard or preference,"This request is underspecified because it does not clarify the standard or preference regarding the type of pizza (e.g., Neapolitan, New York-style), any dietary restrictions (such as gluten-free or vegan), the desired difficulty level, or preferred toppings. Without specifying these aspects, the intended meaning of the request remains open, leaving multiple possible recipe options without clear guidance.","The task of finding a recipe for homemade pizza is clear in its basic intent, but lacks specific details that could help find a recipe better suited to the user's preferences or requirements. For instance, there is no mention of the type of pizza (e.g., Neapolitan, New York-style, etc.), dietary restrictions (e.g., gluten-free, vegan), the level of cooking expertise required, or specific toppings of interest. These details are necessary to provide a recipe that the user will be satisfied with and capable of making."
31,Find the next music festival happening in my city.,underspecified,IN3,"Undetermined lexicons or references, Undetermined standard or preference","The phrase “my city” lacks a clear referent, making it unclear which location is intended. Additionally, it does not specify what kind of music festival is preferred, such as genre, size, or type, leaving the search preference open. Both factors make the request underspecified.","The task is somewhat vague as it lacks specific details about the user's city, the type of music or artists they're interested in, and any date or time preferences for when they want the festival to occur."
45,Create a markdown document that documents the steps to install Python on a new system.,underspecified,IN3,Undetermined lexicons or references,"The request is underspecified because it does not clarify which operating system the instructions should target (e.g., Windows, macOS, Linux) or which specific Python version to install, leaving both referents open and ambiguous.","The user's task goal is vague because it does not specify which operating system the installation guide is for. Python installation steps can vary significantly between different operating systems such as Windows, macOS, or Linux distributions. Additionally, it does not mention the version of Python to be installed or if any particular package manager is preferred or required."
47,Write a Python script that sorts images based on their content.,underspecified,IN3,"Undetermined standard or preference, Undetermined perspective or granularity","The request does not clarify the sorting standard or preference, such as whether the sorting should be by object type, color, or theme. Additionally, it is unclear which aspect of the image content should be used for sorting and how fine-grained the sorting should be, leaving the granularity ambiguous. Both factors make the request underspecified.","The task of writing a Python script to sort images based on their content is vague because it lacks details on how the images should be sorted. What criteria or features within the content are being used to sort? Are we sorting by color, object presence, scene type, etc.? There's no information about the source of the images, the desired output format, or the level of accuracy expected. Additionally, the task does not specify if any particular libraries or methods are preferred or required for the image processing."
12,Give tips on improving my storytelling abilities for writing fiction.,underspecified,IN3,Undetermined standard or preference,"The request is underspecified because it does not clarify which specific storytelling abilities the user wants to improve (e.g., plot structure, character development, dialogue) or what type of fiction they are interested in (e.g., genre, style), leaving the advice preference open.","The user's task goal is somewhat vague because it doesn't specify the type of fiction they are interested in, their current skill level, or any specific areas they feel they need to improve in their storytelling. The user's preference on the style or format of the tips (e.g., general guidelines, exercises, examples) is also not clear."
51,Help me create a monthly budget plan to save for a new car.,underspecified,IN3,"Undetermined lexicons or references, Undetermined standard or preference","The request does not clarify which type of new car is intended, leaving the referent vague in terms of price range or model. Additionally, creating a budget plan requires subjective input on the user’s income, expenses, and savings preferences, which are not provided. Both factors make the request underspecified.","The task of creating a monthly budget plan to save for a new car is somewhat clear in its overall goal. However, it lacks details about the user's current financial situation, the target amount for the new car, the timeline for the savings, and the user's monthly income and expenses, which are all necessary to create a detailed and actionable budget plan."
95,Devise a vegetarian recipe using only ingredients already in my pantry.,underspecified,IN3,"Undetermined lexicons or references, Undetermined standard or preference","The request does not specify which ingredients are actually in the user’s pantry, leaving the referent of  ""ingredients already in my pantry"" unclear. Additionally, creating a suitable vegetarian recipe would require more subjective input on the user’s taste preferences, dietary needs, and cooking style.","The task is vague because it does not specify which ingredients are available in the user's pantry, the type of cuisine or meal they are interested in, dietary restrictions besides being vegetarian, or any specific nutritional goals they might have."
62,Locate the nearest yoga class with the best reviews in my city.,underspecified,IN3,"Undetermined lexicons or references, Undetermined standard or preference","The request does not clarify which city is meant, leaving the referent of ""my city"" vague. Additionally, terms like “nearest” and “best reviews” are subjective and can vary based on distance thresholds, review platforms, or rating standards, making the user's evaluative preferences unclear. Both factors make the request underspecified.","The task is somewhat clear as the user is looking for a yoga class with good reviews, but it is missing key details such as the user's city, the distance they are willing to travel, and what they consider 'best reviews' (e.g., star rating)."
91,Write a summary of a given text file.,underspecified,IN3,"Undetermined lexicons or references, Undetermined standard or preference","The request does not clarify which specific text file is being referred to, leaving the referent of ""a given text file"" vague. Additionally, it does not specify the type or style of summary desired, such as a brief abstract, a detailed outline, or a key-point summary, making the user's preference unclear. Both factors make the request underspecified.","The task is vague as it does not specify the length of the summary desired, the purpose of the summary, the subject matter of the text file, or what key points should be included or omitted. Moreover, it does not indicate the intended audience or any style preferences for the summary."
54,"I'm hosting a vegan dinner party this weekend, can you suggest a three-course meal with recipes?",underspecified,IN3,Undetermined standard or preference,"The request is underspecified because it does not clarify the number of guests to be served, leaving the portioning standard open. It also lacks preference details such as the type of cuisine (e.g., Italian, Asian-fusion) or the desired difficulty level of the recipes (e.g., simple, advanced). These are all essential for tailoring the three-course meal suggestion accurately, but they are lacking. Therefore, the request is underspecified.","The task of suggesting a three-course vegan meal with recipes for a dinner party is somewhat clear, but there are still some important details missing. For instance, the number of guests, any dietary restrictions or allergies, cuisine preference, and the level of cooking difficulty preferred are not mentioned. These details are important to tailor the meal suggestions to the user's needs and ensure the success of the dinner party."
14,Sketch a concept for a sustainable fashion line.,underspecified,IN3,"Undetermined standard or preference, Undetermined perspective or granularity","The request is underspecified because it does not clarify the target audience for the fashion line, leaving the standard vague. Additionally, it lacks preference details such as the desired style (e.g., casual, formal) and the specific sustainability practices to focus on (e.g., recycled materials, fair labor). Furthermore, it is unclear how detailed the “concept” should be — whether it refers to a broad theme or a fully fleshed-out design plan — introducing ambiguity in granularity.","The task to sketch a concept for a sustainable fashion line is quite vague because it lacks specific details about the type of fashion line, target audience, style preferences, sustainability practices to be included, and the extent of the concept development required. These details are essential to tailor the design to the user's needs and to ensure that the concept aligns with their vision for sustainability in fashion."
6,Find out the file type and size of each file inside a specific directory.,underspecified,IN3,"Undetermined lexicons or references, Undetermined standard or preference","The request is underspecified because it does not clarify which specific directory is being referred to, leaving the referent ambiguous. Additionally, it lacks preference details such as the desired size unit for reporting file sizes (e.g., bytes, kilobytes, megabytes), which affects how the information should be presented. Both factors contribute to making the request underspecified.","The user's task is to analyze the file system within a specific directory, which includes identifying the file type and size of each file. However, the task is vague because the user has not specified which directory they are interested in, what they mean by 'file type' (e.g., MIME type, file extension), and what units they would like the file sizes to be reported in (e.g., bytes, kilobytes, megabytes). Without this information, it's not possible to provide a precise solution or guidance."
22,Find the most popular men's fashion trends this spring.,underspecified,IN3,Undetermined standard or preference,"The request is underspecified because it does not clarify the standard for measuring “popular” (e.g., sales numbers, social media mentions, expert opinions) and does not specify which style category or subdomain of men’s fashion is preferred (e.g., formalwear, streetwear), both of which are needed to narrow down the trends accurately.","The task is clear in its objective to identify popular men's fashion trends for the current spring season. However, 'popular' can be subjective and it isn't specified what metrics or sources should be used to determine popularity. Additionally, there are no details about the user's personal style preferences, geographic region, or any specific fashion categories (e.g., casual wear, formal wear, accessories) that they are interested in."
33,Search for an explanation of the String Theory.,underspecified,IN3,"Undetermined standard or preference, Undetermined perspective or granularity","This request is underspecified because it does not clarify the standard or preference regarding the desired explanation — for example, whether the user wants a beginner-friendly overview, an advanced technical treatment, or a specific type of illustration (such as visual, textual, or mathematical). Additionally, the request leaves the perspective or granularity open, as it does not specify whether the explanation should focus on a particular sub-aspect of string theory or provide a broad general summary. Without these details, the intended output remains ambiguous.","The task is requesting an explanation of the String Theory, which is a topic in theoretical physics. The user does not specify the level of complexity they want in the explanation, such as beginner, intermediate, or advanced. They also do not mention if they prefer a summary, detailed analysis, or a particular aspect of the theory to focus on. Moreover, they do not specify the medium they prefer, like articles, videos, or podcasts."
44,Keep me updated on the latest breakthroughs in renewable energy technology.,underspecified,IN3,"Undetermined standard or preference, Undetermined perspective or granularity","The request is underspecified because it does not define what counts as a “breakthrough” (e.g., small incremental advances vs. major innovations), leaving the standard vague. Additionally, it is unclear whether the updates should cover the technology overall or focus on specific factors (e.g., storage, efficiency), creating ambiguity in perspective or granularity. Both factors make the question underspecified.","The task lacks specific details about the frequency of updates, the type of renewable energy technologies the user is interested in, and the preferred sources or level of detail for the information."
74,Write a script to automate emails for a list of recipients based on certain events.,underspecified,IN3,"Undetermined lexicons or references, Undetermined standard or preference","The request is underspecified because the phrase “certain events” can refer to a parallel set of events (e.g., purchases, sign-ups) without specifying which ones, making the referent ambiguous. Additionally, the email content, target recipients, and what qualifies as an event are all subject to contextual standards or personal preferences, none of which are detailed, leaving the request open-ended. Both factors make the request underspecified.","The task of writing a script to automate emails for a list of recipients based on certain events is somewhat vague. Key details such as the specific events that trigger the emails, the content of the emails, the email platform to be used, and any personalization or conditions for the recipients are not specified. These details are necessary to determine the logic and structure of the script."
